#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
100000,-71.41535701815849,45011.87166969363,-133868.7528414742
107977.516232771,-72.87666796247802,38821.01400088242,-126007.0748552637
116591.4401179831,-73.79559464444405,34447.18272899822,-118533.9620583293
125892.5411794167,-72.54545669564536,34907.69768347818,-111020.1211116542
135935.6390878526,-74.27047090768917,29417.85809446319,-104450.6892427118
146779.9267622069,-74.14719045402356,27032.94843870658,-95197.41910012874
158489.3192461114,-76.3005162562981,22227.83157141274,-91185.80025158121
171132.8304161779,-75.55516913569097,21934.20723908411,-85151.4417522782
184784.9797422291,-76.27418965951496,19534.82607912517,-79978.48289974197
199526.2314968881,-76.55290720648638,17836.96954923604,-74599.72581915683
215443.4690031882,-77.34489434569133,15644.00565124924,-69672.43002352843
232630.5067153626,-77.93666899434548,13928.43093334471,-65173.80364569599
251188.6431509582,-78.14019343615851,12826.8551925831,-61080.1173663819
271227.2579332027,-78.57466298755142,11562.68379706968,-57213.93034855975
292864.4564625237,-78.97480634146147,10422.18990125439,-53491.93077752891
316227.7660168378,-79.49171826312211,9274.266100824419,-49999.1278031295
341454.8873833601,-79.83223032549242,8397.271457962142,-46821.17728538541
368694.5064519577,-80.19711518262336,7547.7818940247,-43683.88296183988
398107.1705534972,-80.64210475261712,6735.659807988731,-40873.20737811283
